,,,,,,,,,,,,"Survey","Participant","Question 1"
,,,,,,,,,,,,,"Question Text","קוד משתתף (בנוי תחילה מהסימן ""#"" ואז ארבע ספרות)"
,,,,,,,,,,,,,"Response Type","Text"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices",
"12/02/2024 07:04PM","12/02/2024 07:04PM","12/02/2024 12:00AM - 12/02/2024 11:59PM",16.742,"1","1","Finished","674d6642cc103e20a9a342f0",,,"no","-","192.168.1.110","Participant 1","#7305"
"12/07/2024 06:43PM","12/07/2024 06:44PM","12/07/2024 12:00AM - 12/07/2024 11:59PM",16.256,"1","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.96.209.156","Participant 2","#7307"
"12/15/2024 07:39PM","12/15/2024 07:39PM","12/15/2024 12:00AM - 12/15/2024 11:59PM",19.669,"1","1","Finished","675f117733abebd908b4740a",,,"no","-","192.168.1.235","Participant 3","#7321"
"01/11/2025 06:05PM","01/11/2025 06:05PM","01/11/2025 12:00AM - 01/11/2025 11:59PM",8.096,"1","1","Finished","677e99b0deb32e1664b0f8c1",,,"no","-","10.155.62.245","Participant 4","#7313"
"01/11/2025 06:17PM","01/11/2025 06:17PM","01/11/2025 12:00AM - 01/11/2025 11:59PM",16.924,"1","1","Finished","677e294c92b3eb66e21ad167","0.0","0.0","no","-","192.168.1.36","Participant 5","#7319"
"01/19/2025 09:21PM","01/19/2025 09:22PM","01/19/2025 12:00AM - 01/19/2025 11:59PM",17.874,"1","1","Finished","6788142013aa347c7f0b8989",,,"no","-","192.168.1.128","Participant 6","#7351"
"01/21/2025 09:09PM","01/21/2025 09:09PM","01/21/2025 12:00AM - 01/21/2025 11:59PM",14.644,"1","1","Finished","678fd7bd37a19c21a4c25e6a",,,"no","-","10.235.116.56","Participant 7","#7355"
"01/26/2025 08:21PM","01/26/2025 08:21PM","01/26/2025 12:00AM - 01/26/2025 11:59PM",15.967,"1","1","Finished","6796636afd75d39f735aab8a","0.0","0.0","no","-","192.168.4.141","Participant 8","#7361"
"02/01/2025 09:10PM","02/01/2025 09:11PM","02/01/2025 12:00AM - 02/01/2025 11:59PM",9.935,"1","1","Finished","6793730fa921bfa59b1b85dc",,,"no","-","10.100.102.6","Participant 9","#7367"
"02/09/2025 08:39PM","02/09/2025 08:39PM","02/09/2025 12:00AM - 02/09/2025 11:59PM",12.953,"1","1","Finished","67a44e99ba402d566c895be0",,,"no","-","10.0.0.11","Participant 10","#7381"
"03/03/2025 07:35PM","03/03/2025 07:36PM","03/03/2025 12:00AM - 03/03/2025 11:59PM",22.305,"1","1","Finished","67c5da3d46dea88167de0108",,,"no","-","10.0.0.1","Participant 11","#7397"
"03/08/2025 08:34PM","03/08/2025 08:34PM","03/08/2025 12:00AM - 03/08/2025 11:59PM",21.309,"1","1","Finished","67c721a346dea88167ece124","0.0","0.0","no","-","2a02:14f:38d:5db8:ad4b:8f56:a289:7390","Participant 12","#3791"
"03/15/2025 07:23PM","03/15/2025 07:24PM","03/15/2025 12:00AM - 03/15/2025 11:59PM",19.285,"1","1","Finished","67d1e5adc1ae9946c56a193f",,,"no","-","192.168.1.38","Participant 13"," #7403"
"03/13/2025 07:19PM","03/13/2025 07:19PM","03/13/2025 12:00AM - 03/13/2025 11:59PM",26.741,"1","1","Finished","67d30d86c1ae9946c576c8e5","0.0","0.0","no","-","2a0d:6fc2:5240:e600:ed4c:c8b6:6f08:13c9","Participant 14","#7409"
