,,,,,,,,,,,,"Survey","Participant","Question 1"
,,,,,,,,,,,,,"Question Text","קוד משתתף (בנוי תחילה מהסימן ""#"" ואז ארבע ספרות)"
,,,,,,,,,,,,,"Response Type","Text"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices",
"12/07/2024 06:44PM","12/07/2024 06:44PM","12/07/2024 12:00AM - 12/07/2024 11:59PM",12.062,"1","1","Finished","6751bd8cb57ffed03cf193fd",,,"no","-","100.96.209.156","Participant 1","#7308"
"01/11/2025 06:17PM","01/11/2025 06:17PM","01/11/2025 12:00AM - 01/11/2025 11:59PM",21.5,"1","1","Finished","677eae41deb32e1664b18783","0.0","0.0","no","-","2a00:a041:5b9f:fc00::1001","Participant 2","#7320"
"01/19/2025 09:21PM","01/19/2025 09:22PM","01/19/2025 12:00AM - 01/19/2025 11:59PM",15.907,"1","1","Finished","678a28104c197232222f3bd2",,,"no","-","192.168.1.105","Participant 3","#7352"
"03/03/2025 07:37PM","03/03/2025 07:37PM","03/03/2025 12:00AM - 03/03/2025 11:59PM",11.11,"1","1","Finished","67c5e4e546dea88167de9b1b","0.0","0.0","no","-","10.0.0.3","Participant 4","#7398"
"03/09/2025 07:59PM","03/09/2025 08:00PM","03/09/2025 12:00AM - 03/09/2025 11:59PM",81.593,"1","1","Finished","67c747d146dea88167eef096","0.0","0.0","no","-","10.100.102.100","Participant 5","#7392"
"03/15/2025 07:25PM","03/15/2025 07:25PM","03/15/2025 12:00AM - 03/15/2025 11:59PM",18.959,"1","1","Finished","67d1e5bac1ae9946c56a198a",,,"no","-","192.168.1.59","Participant 6","#7404"
"03/22/2025 09:48PM","03/22/2025 09:48PM","03/22/2025 12:00AM - 03/22/2025 11:59PM",9.993,"1","1","Finished","67dc2c2a4a8aee02c0105b94","0.0","0.0","no","-","192.168.0.208","Participant 7","#7400"
"03/30/2025 08:14PM","03/30/2025 08:15PM","03/30/2025 12:00AM - 03/30/2025 11:59PM",8.718,"1","1","Finished","67d2db32c1ae9946c573c2fc",,,"no","-","10.0.0.11","Participant 8","#7416"
"05/05/2025 05:25PM","05/05/2025 05:26PM","05/05/2025 12:00AM - 05/05/2025 11:59PM",46.005,"1","1","Finished","680bcc1f5a3f3054a02e09db","0.0","0.0","no","-","10.0.0.14","Participant 9","#7500"
"05/27/2025 09:34PM","05/27/2025 09:34PM","05/27/2025 12:00AM - 05/27/2025 11:59PM",13.4,"1","1","Finished","66e03ee644f1da2a6001020f",,,"no","-","10.100.102.3","Participant 11","דוגמא דוגמא"
